Department Name|Official Website|Has Activity Data|Activity Data URL|Data Types Available|Notes
Glenn County Health and Human Services Agency Special Investigations Unit|https://www.countyofglenn.net/government/departments/health-human-services|Unknown|N/A|N/A|Fraud investigation
Glenn County Sheriff's Department/Coroner|https://www.countyofglenn.net/government/departments/sheriff|Yes|N/A|Sheriff services info|Coroner services
Gonzales Police Department|https://gonzalesca.gov/services/police|Yes|https://gonzalesca.gov/services/police/media-log|Media Log, Police Documents|
Grass Valley Police Department|https://www.grassvalleyca.gov/police-department|Yes|N/A|Daily activity log|31 sworn officers
Greenfield Police Department|https://www.ci.greenfield.ca.us/233/Police-Department|Unknown|N/A|N/A|
Gridley Police Department|http://gridley.ca.us/government-and-departments/departments/police-department|Yes|https://gridleyca.citizenrims.com/|Crime Maps, Arrests, Incidents, Crime Statistics|CitizenRIMS
Grover Beach Police Department|https://www.grover.org/643/Police-Department|Unknown|N/A|N/A|
Guadalupe Police Department|https://cityofguadalupe.org/police/|Unknown|N/A|N/A|
Gustine Police Department|https://www.cityofgustine.com/pView.aspx?id=13856&catid=649|Yes|https://gustine.citizenrims.com|Crime & Activity|CitizenRIMS
Hacienda-La Puente School District Police and Safety Department|https://www.hlpschools.org/district/police-and-safety|Unknown|N/A|N/A|School district police
Hanford Police Department|https://www.ci.hanford.ca.us/1198/Police|Yes|https://hanford.citizenrims.com|Crime & Activity|CitizenRIMS
Hawthorne Police Department|https://hawthornepolice.com/|Yes|https://hawthornepolice.com/custody|Custody & Registrant Information|
Hayward Police Department|https://www.hayward-ca.gov/police-department|Yes|https://www.hayward-ca.gov/police-department/public-services/file-police-report|Online police reports, transparency portal|CALEA accredited
Healdsburg Police Department|https://www.ci.healdsburg.ca.us/149/Police|Yes|https://healdsburg.citizenrims.com/|Crime & Activity, Department News|CitizenRIMS
Hemet Police Department|https://hemetpd.com/|Unknown|N/A|N/A|
Hercules Police Department|https://www.herculesca.gov/government/police|Unknown|N/A|N/A|
Hermosa Beach Police Department|https://www.hermosabeach.gov/our-government/police-department|Unknown|N/A|N/A|
Hesperia Unified School District Police Department|https://www.husdpd.com/|Unknown|N/A|N/A|
Hillsborough Police Department|https://www.hillsborough.net/231/Police|Yes|https://www.hillsborough.net/681/CitizenRIMS-Operational-Statistics|Crime & Activity Data, ALPR Transparency|CitizenRIMS
Hollister Police Department|https://hollister.ca.gov/government/police/index.php|Yes|https://hollister.ca.gov/government/departments/police/online_incident_reporting.php|Online incident reporting, crime statistics|
Humboldt County District Attorney|https://humboldtgov.org/2928/District-Attorney|No|N/A|N/A|
Humboldt County Sheriff's Office|https://humboldtgov.org/2545/Sheriffs-Office|Yes|https://hcso.citizenrims.com/|Real-time crime data, incident mapping|CitizenRIMS
Humboldt Department of Health and Human Services|https://humboldtgov.org/2543/Health-Human-Services|Unknown|N/A|N/A|Not law enforcement
Huntington Beach Police Department|https://www.huntingtonbeachca.gov/departments/police/index.php|Unknown|N/A|Adult arrest log available|
Huntington Park Police Department|https://hppolice.org/|Unknown|N/A|N/A|
Huron Police Department|https://huronca.gov/public-safety/|Unknown|N/A|N/A|
Imperial County District Attorney|https://da.imperialcounty.org/|No|N/A|N/A|
Imperial County Sheriff's Department|https://icso.imperialcounty.org|Unknown|N/A|N/A|
Imperial Police Department|https://www.cityofimperial.org/departments/police|Unknown|N/A|N/A|
Indio Police Department|https://www.indiopd.org/|Unknown|N/A|N/A|
Inglewood Police Department|https://www.cityofinglewood.org/1649/Police|Unknown|N/A|N/A|
Inyo County District Attorney|https://www.inyocounty.us/services/district-attorney|No|N/A|N/A|
Inyo County Sheriff's Department|https://www.inyocounty.us/services/sheriff|Yes|https://inyosheriff.citizenrims.com/|Court Records|CitizenRIMS
Ione Police Department|https://www.ione.ca.gov/police|Unknown|N/A|N/A|
Irvine Police Department|https://irvinepd.gov/|Unknown|N/A|N/A|~257 officers
Irvine Valley Community College District Police Department|https://www.ivc.edu/police|Unknown|N/A|N/A|
Irwindale Police Department|https://irwindaleca.gov/616/Police|Unknown|N/A|N/A|
Jackson Police Department|https://www.ci.jackson.ca.us/police_department.php|Unknown|N/A|N/A|
Kensington Police Department|https://www.kppcsd.org/police|Unknown|N/A|N/A|Special District
Kerman Police Department|https://cityofkerman.net/222/Police-Department|Unknown|N/A|N/A|
Kern County District Attorney|https://www.kerncounty.com/government/departments/district-attorney|No|N/A|N/A|
Kern County District of Parks and Recreation Police Department|https://www.kernsheriff.org/ParkRanger|Unknown|N/A|N/A|Under Sheriff's Office
Kern County Sheriff's Department|https://www.kernsheriff.org/|Unknown|N/A|N/A|
Kern High School District Police Department|https://www.kernhigh.org/apps/pages/index.jsp?uREC_ID=708689&type=d&pREC_ID=1146485|Unknown|N/A|N/A|19 campuses
King City Police Department|https://www.kingcity.com/164/Police-Department|Unknown|N/A|N/A|
Kings County District Attorney|https://www.countyofkingsca.gov/departments/public-safety/district-attorney|No|N/A|N/A|
Kings County Sheriff's Department|https://www.countyofkingsca.gov/departments/public-safety/sheriff|Unknown|N/A|N/A|
Kings County Human Services Agency Fraud Bureau|https://www.countyofkingsca.gov/departments/human-services-agency|Unknown|N/A|N/A|Welfare fraud
Kingsburg Police Department|https://www.cityofkingsburg-ca.gov/163/Police-Department|Unknown|N/A|N/A|
L.A. Impact|https://oag.ca.gov/bi/laimpact|No|N/A|N/A|DOJ narcotics task force
L.A. Metro Department of Public Safety|https://www.metro.net/riding/safety-security/|Unknown|N/A|N/A|Recently established
La Habra Police Department|https://www.lahabraca.gov/227/Police-Department|Unknown|N/A|Records by request|
La Mesa Police Department|https://www.cityoflamesa.gov/1611/Police-Department|Unknown|N/A|N/A|69 sworn officers
La Palma Police Department|https://www.lapalmaca.gov/153/Police|Unknown|N/A|N/A|
La Verne Police Department|https://lvpd.org/|Unknown|N/A|N/A|
Lafayette Police Department|https://www.lovelafayette.org/city-hall/city-departments/police|Unknown|N/A|N/A|Contract with CC Sheriff
Laguna Beach Police Department|https://www.lagunabeachcity.net/government/departments/police|Unknown|N/A|N/A|
Lake County District Attorney|https://www.lakecountyca.gov/203/District-Attorney|No|N/A|N/A|
Lake County Sheriff's Department|https://www.lakecountyca.gov/157/Sheriff|Yes|https://www.lakecountyca.gov/958/Recent-Arrests|Recent arrests listing|
Lake Shastina District Police Department|https://lakeshastinapolice.com/|Unknown|N/A|N/A|
Lakeport Police Department|https://www.cityoflakeport.com/police/|Unknown|N/A|N/A|
Lancaster Police Department|https://www.cityoflancasterca.org/our-city/departments-services/public-safety|Yes|https://www.cityoflancasterca.org/our-city/departments-services/public-safety/crime-maps-and-information|Crime mapping, Monthly statistics|CrimeMaps.com
Lathrop Police Department|https://www.ci.lathrop.ca.us/police|Unknown|N/A|N/A|
Lassen County District Attorney|https://www.lassencounty.org/dept/district-attorney/welcome|No|N/A|N/A|
Lassen County Sheriff's Department|https://www.lassencounty.org/dept/sheriffs-office/sheriffs-office|Yes|N/A|Crime data via CitizenRIMS|Launched CitizenRIMS per Lassen News
Lemoore Police Department|https://lemoore.com/departments/police|Unknown|N/A|N/A|
Lincoln Police Department|https://www.lincolnca.gov/living-here/police-and-fire/police-department/|Yes|https://lincolnca.citizenrims.com/|Crime & Activity data|CitizenRIMS
Lindsay Department of Public Safety|https://www.lindsay.ca.us/public-safety|Unknown|N/A|N/A|Integrated law/fire/EMS
Livermore Police Department|https://police.livermoreca.gov/|Yes|https://police.livermoreca.gov/about-us/crime-mapping|Crime mapping, Interactive maps, Statistics|
Livingston Police Department|https://www.cityoflivingston.org/police|Unknown|N/A|N/A|
Lodi Police Department|https://www.lodi.gov/215/Police|Unknown|N/A|N/A|
Lompoc Police Department|https://www.cityoflompoc.com/police/|Unknown|N/A|N/A|
Long Beach Department of Disaster Preparedness and Emergency Communications|https://www.longbeach.gov/disasterpreparedness/|No|N/A|N/A|911 dispatch
Long Beach Police Department|https://www.longbeach.gov/police/|Yes|https://www.longbeach.gov/police/crime-info/crime-statistics/|Crime Dashboard, Monthly stats, Interactive crime mapping|
Long Beach Unified School District Safety Department|https://www.lbschools.net/departments/school-safety/home|Unknown|N/A|N/A|
Los Alamitos Police Department|https://cityoflosalamitos.org/158/Police-Department|Unknown|N/A|N/A|
Los Altos Police Department|https://www.losaltosca.gov/261/Police|Unknown|N/A|N/A|
Los Angeles Public Works Department Investigation and Enforcement Division|https://streetsla.lacity.org/investigation-enforcement-division|No|N/A|N/A|PW violations
Los Angeles City Department of Recreation and Parks Park Ranger Division|https://recreation.parks.lacity.gov/ranger/about|Unknown|N/A|N/A|
Los Angeles County Department of Medical Examiner|https://me.lacounty.gov/|No|N/A|N/A|
Los Angeles County District Attorney|https://da.lacounty.gov/|No|N/A|N/A|
Los Angeles County Probation Department|https://probation.lacounty.gov/|No|N/A|N/A|
Los Angeles County Sheriff's Department|https://lasd.org/|Yes|https://lasd.org/transparency/crimeandarrest/|Crime and arrest statistics, 10+ years historical data|Comprehensive transparency portal
Los Angeles Police Department|https://www.lapdonline.org/|Yes|https://www.lapdonline.org/office-of-the-chief-of-police/office-of-special-operations/detective-bureau/crime-mapping-and-compstat/|Crime mapping, COMPSTAT, NIBRS datasets, Annual reports|Open data portal
Los Angeles Port Police Department|https://www.portoflosangeles.org/community/los-angeles-port-police|Unknown|N/A|N/A|Maritime LE
Los Angeles School Police Department|https://laspd.lausd.org/|Unknown|N/A|N/A|Largest independent school PD
Los Angeles Watershed Protection Enforcement Unit|https://sanitation.lacity.gov/watershedprotection|No|N/A|N/A|Pollution enforcement
Los Angeles World Airports Police Department|https://www.lawa.org/groups-and-divisions/airport-police|Unknown|N/A|N/A|LAX police
Los Banos Police Department|https://losbanos.org/city-government/departments/police/|Unknown|N/A|N/A|
Los Gatos/Monte Sereno Police Department|https://www.losgatosca.gov/2827/Police-Services|Unknown|N/A|N/A|Joint department
Los Rios Community College District Police Department|https://police.losrios.edu/|Yes|https://losriospd.citizenrims.com|Crime & Activity mapping|CitizenRIMS (discovered via search)
Loyola Marymount University Office of Public Safety|https://safety.lmu.edu/|Unknown|N/A|N/A|Clery Act reporting
Madera County District Attorney|https://www.maderada.org/|Unknown|N/A|N/A|
Madera County Sheriff's Department|https://www.maderacounty.com/sheriff/|Unknown|N/A|N/A|Online reporting available
Madera Police Department|https://www.madera.gov/emergency-protective-services/police-department/|Unknown|N/A|N/A|
Mammoth Lakes Police Department|https://www.townofmammothlakes.ca.gov/1123/Police|Yes|https://www.townofmammothlakes.ca.gov/1292/Crime---Calls-for-Service-and-Arrests|Calls for Service, Arrests|
Manhattan Beach Police Department|https://www.manhattanbeach.gov/departments/police-department|Yes|https://www.manhattanbeach.gov/departments/police-department/crime-statistics|Monthly Crime Statistics, Weekly Crime Summaries|
Manteca Police Department|https://www.manteca.gov/departments/police-department|Yes|https://manteca.citizenrims.com|Crime & Activity mapping, incident data, arrest info|CitizenRIMS (discovered via search)
Marin Community College District Police Department|Not Found|Unknown|N/A|N/A|
Marin County Coroner|https://marinsheriff.gov/about-us/administrative-support/coroner-division|Unknown|N/A|N/A|Part of Sheriff
Marin County District Attorney|https://marincountyda.org/|Unknown|N/A|N/A|
Marin County Health & Human Services|Not Found|Unknown|N/A|N/A|Not LE
Marin County Sheriff's Department|https://marinsheriff.gov/|Yes|N/A|Booking log, crime data (RIMS adopted Nov 2025)|Replaced Central Square Tiburon with RIMS Nov 2025; CitizenRIMS portal likely coming
Marin Municipal Water District|Not Found|Unknown|N/A|N/A|Not LE
Marina Department of Public Safety|https://www.cityofmarina.org/17/Police-Department|Unknown|N/A|N/A|
Mariposa County District Attorney|https://www.mariposacounty.org/74/District-Attorney|Unknown|N/A|N/A|
Mariposa County Sheriff's Department|https://www.mariposacounty.org/82/Sheriffs-Office|Unknown|N/A|N/A|
Martinez Police Department|https://www.cityofmartinez.org/departments/police|Yes|https://www.cityofmartinez.org/departments/police/daily-log-crime-stats|Daily Activity Log, Crime Statistics|CitizenRIMS
Marysville Police Department|https://www.marysvillepd.org/|Unknown|N/A|N/A|
McFarland Police Department|https://www.mcfarlandcity.org/203/Police-Department|Unknown|N/A|N/A|
Mendocino County District Attorney|https://www.mendocinocounty.gov/government/district-attorney|Unknown|N/A|N/A|
Mendocino County Sheriff's Department|https://mendocinosheriff.org/|Unknown|N/A|N/A|
Mendota Police Department|https://www.cityofmendota.com/police-department-about/|Unknown|N/A|N/A|
Menifee Police Department|https://menifeepolice.org/|Unknown|N/A|N/A|
Menlo Park Police Department|https://www.menlopark.gov/Government/Departments/Police|Yes|https://menlopark.citizenrims.com/|Crime Statistics, Calls for Service|CitizenRIMS
Merced Community College Police Department|Not Found|Unknown|N/A|N/A|
Merced County District Attorney|https://www.countyofmerced.com/3612/District-Attorney|Unknown|N/A|N/A|
Merced County Sheriff's Department|https://www.countyofmerced.com/2516/Sheriffs-Office|Unknown|N/A|N/A|
Merced Police Department|https://www.cityofmerced.gov/departments/police|Unknown|N/A|Online crime reporting|
Mill Valley Police Department|https://www.cityofmillvalley.gov/216/Police|Unknown|N/A|N/A|
Milpitas Police Department|https://www.milpitas.gov/1101/Police|Yes|https://www.milpitas.gov/1107/Crime-and-Incident-Data|NIBRS Offense and Arrest Data, Interactive Dashboards|Data since Jan 2023
Mira Costa Community College District Police Department|Not Found|Unknown|N/A|N/A|
Modesto Police Department|https://www.modestogov.com/223/Police-Department|Unknown|N/A|Online reporting available|
Modoc County Sheriff's Department|https://www.modocsheriff.us/|Unknown|N/A|N/A|
Mono County District Attorney|https://monocountydistrictattorney.org/da|Unknown|N/A|N/A|
Mono County Sheriff's Department|https://www.monosheriff.org/|Yes|https://monosheriff.citizenrims.com|Incarcerated People, crime data|CitizenRIMS (discovered via search)
Monrovia Police Department|https://www.monroviaca.gov/your-government/police-department|Unknown|N/A|N/A|
Montclair Police Department|https://www.cityofmontclair.org/departments/police-department/|Unknown|N/A|Online reporting available|
Montebello Police Department|https://www.montebelloca.gov/departments/police|Unknown|N/A|N/A|
Montebello Unified School District Police Department|Not Found|Unknown|N/A|N/A|
Monterey County District Attorney|https://www.countyofmonterey.gov/government/departments-a-h/district-attorney|Unknown|N/A|N/A|
Monterey County Emergency Communication|Not Found|Unknown|N/A|N/A|Not LE
Monterey County Sheriff's Department|https://mcso.countyofmonterey.gov/|Unknown|N/A|N/A|
Monterey Park Police Department|https://www.montereypark.ca.gov/393/Police|Yes|https://montereypark.citizenrims.com/|Crime and Activity Data|CitizenRIMS
Monterey Police Department|https://monterey.gov/your_city_hall/departments/police/index.php|Unknown|N/A|N/A|
Monterey Peninsula Airport District Police Department|Not Found|Unknown|N/A|N/A|
Moorpark College Police Department|https://www.vcccd.edu/departments/police/moorpark-college-station|Unknown|N/A|N/A|
Moraga Police Department|https://www.moraga.ca.us/178/Police|Unknown|N/A|N/A|
Morgan Hill Police Department|https://www.morganhill.ca.gov/129/Police-Department|Unknown|N/A|N/A|
Morro Bay Police Department|https://www.morrobayca.gov/128/Police|Unknown|N/A|N/A|
Mt. San Antonio Community College District Police Department|Not Found|Unknown|N/A|N/A|
Mt. Shasta Police Department|Not Found|Unknown|N/A|N/A|
Mountain View Police Department|https://www.mountainview.gov/services/police-services|Yes|https://mvpd.citizenrims.com|Crime & Activity mapping, incident data, arrest info|CitizenRIMS (discovered via search)
Mountains Recreation and Conservation Authority Ranger Division|Not Found|Unknown|N/A|N/A|
Murrieta Police Department|https://www.murrietaca.gov/1409/Police|Unknown|N/A|N/A|
Napa County District Attorney|https://www.napacounty.gov/2086/District-Attorney|Unknown|N/A|N/A|
Napa County Sheriff's Department|https://www.napacounty.gov/1292/Sheriff|Unknown|N/A|N/A|
Napa Police Department|https://www.cityofnapa.org/323/Police-Department|Unknown|N/A|N/A|
Napa Valley College Police Department|Not Found|Unknown|N/A|N/A|
National City Police Department|https://www.nationalcityca.gov/government/police|Unknown|N/A|N/A|
Nevada City Police Department|https://www.nevadacityca.gov/231/Police|Unknown|N/A|Daily log via County|
Nevada County District Attorney|https://www.nevadacountyca.gov/391/District-Attorney|Unknown|N/A|N/A|
Nevada County Sheriff's Department|https://www.nevadacountyca.gov/4144/Sheriff|Unknown|N/A|N/A|
Newark Police Department|https://www.newarkca.gov/departments/police|Yes|https://newark.citizenrims.com|Crime mapping, incident data, arrest info|CitizenRIMS (discovered via search)
Newman Police Department|https://cityofnewman.gov/departments/newman-police-department/|Unknown|N/A|N/A|
Newport Beach Police Department|https://www.nbpd.org/|Yes|https://nbgis.newportbeachca.gov/gispub/Dashboards/PoliceCallsDash.htm|Police Calls for Service Dashboard|Interactive mapping
Novato Police Department|https://www.novato.org/government/police-department|Unknown|N/A|N/A|
Oakdale Police Department|Not Found|Unknown|N/A|N/A|
Oakland City Housing Authority Police Department|Not Found|Unknown|N/A|N/A|
Oakland Police Department|https://www.oaklandca.gov/Public-Safety-Streets/Police|Unknown|N/A|N/A|
Oakley Police Department|Not Found|Unknown|N/A|N/A|
Occidental College Department of Campus Safety|Not Found|Unknown|N/A|N/A|
Oceanside Police Department|https://www.oceansidepolice.com/|Yes|https://subscriber.firstwatch.net/OPD?Pubtoken=2700E615-B381-4C9A-A285-AB391A15380A|OPD Dashboard, Crime and Activity Data|Public access dashboard
Oceanside Police Department Harbor Unit|Not Found|Unknown|N/A|N/A|
Ohlone Community College District Police Department|Not Found|Unknown|N/A|N/A|
Ontario Police Department|https://www.ontarioca.gov/government/police|Unknown|N/A|Online reporting available|
Orange County Auto Theft Task Force (OCATT)|Not Found|Unknown|N/A|N/A|
Orange County District Attorney|https://orangecountyda.org/|Unknown|N/A|N/A|
Orange County District Attorney Public Assistance Fraud|Not Found|Unknown|N/A|N/A|
Orange County Probation Department|Not Found|Unknown|N/A|N/A|
Orange County Sheriff's Department/Coroner|https://www.ocsheriff.gov/|Unknown|N/A|N/A|
Orange Cove Police Department|Not Found|Unknown|N/A|N/A|
Orange Police Department|https://www.cityoforange.org/residents/police|Unknown|N/A|N/A|
Orinda Police Department|https://www.cityoforinda.gov/173/Police|Unknown|N/A|Online reporting available|
Orland Police Department|Not Found|Unknown|N/A|N/A|
Oroville Police Department|https://www.orovilleca.gov/159|Yes|https://orovilleca.citizenrims.com|Crime & Activity mapping, incident data|CitizenRIMS (discovered via search)
Oxnard Police Department|https://www.oxnard.gov/police-department|Unknown|N/A|Call log available online|
Pacific Grove Police Department|https://www.cityofpacificgrove.gov/our_city/departments/police/index.php|Unknown|N/A|N/A|
Pacific Union College Department of Public Safety|Not Found|Unknown|N/A|N/A|
Pacifica Police Department|https://www.cityofpacifica.org/departments/police|Unknown|https://pacifica.citizenrims.com|Crime/Activity log|CitizenRIMS likely
Palm Springs Police Department|https://www.palmspringsca.gov/government/departments/police|Unknown|N/A|Online crime reporting|
Palo Alto Police Department|https://www.paloalto.gov/Departments/Police|Yes|https://www.paloalto.gov/Departments/Police/Public-Information-Portal/Crime-Statistics|Crime Statistics, Police Report Log, Calls for Service Map|Interactive maps
Palomar Community College District Police Department|Not Found|Unknown|N/A|N/A|
Palos Verdes Estates Police Department|Not Found|Unknown|N/A|N/A|
Paradise Police Department|Not Found|Unknown|N/A|N/A|
Parlier Police Department|Not Found|Unknown|N/A|N/A|
Pasadena City College District Police Department|Not Found|Unknown|N/A|N/A|
Pasadena Police Department|https://www.cityofpasadena.net/police/|Unknown|N/A|N/A|
Paso Robles Police Department|https://www.prcity.com/252/Police-Department|Unknown|N/A|N/A|
Pepperdine University Office of Public Safety|Not Found|Unknown|N/A|N/A|
Petaluma Police Department|https://cityofpetaluma.org/departments/police-department/|Unknown|N/A|Transparency portal available|
Piedmont Police Department|https://piedmont.ca.gov/services___departments/police|Unknown|N/A|Transparency portal|
Pinole Police Department|https://www.pinole.gov/departments/police/|Yes|N/A|Crime and Incident Data, Interactive Mapping|CitizenRIMS
Pismo Beach Police Department|https://www.pismobeach.org/71/Police|Yes|https://pismobeach.citizenrims.com/|Crime and Activity Mapping, Incident Data|CitizenRIMS
Pittsburg Police Department|https://www.pittsburgca.gov/services/police|Unknown|N/A|N/A|
Placentia Public Safety Communications|Not Found|Unknown|N/A|N/A|
Placentia Police Department|https://www.placentia.org/17/Police|Unknown|N/A|N/A|
Placer County District Attorney|https://www.placer.ca.gov/2923/District-Attorney/|Unknown|N/A|N/A|
Placer County Probation Department|Not Found|Unknown|N/A|N/A|
Placer County Sheriff's Department|https://www.placer.ca.gov/sheriff|Unknown|N/A|N/A|
Placerville Police Department|https://www.cityofplacerville.org/police|Yes|https://placerville.citizenrims.com|Crime & Activity mapping, online reporting|CitizenRIMS (discovered via search)
Pleasant Hill Police Department|https://www.phillca.gov/1616/Police-Department|Yes|https://pleasanthillca.citizenrims.com|Crime Information|CitizenRIMS
Pleasanton Police Services|https://www.cityofpleasantonca.gov/our-government/police/|Yes|https://pleasanton.citizenrims.com/|Crime and Activity Data|CitizenRIMS
Plumas County District Attorney|https://www.plumascounty.us/1889/District-Attorney|Unknown|N/A|N/A|
Plumas County Sheriff's Department|https://www.plumascounty.us/587/SheriffCoroner|Unknown|N/A|N/A|
Pomona Police Department|https://www.pomonaca.gov/government/departments/police-department|Unknown|N/A|N/A|
Pomona Unified School District Security Department|Not Found|Unknown|N/A|N/A|
Port Hueneme Police Department|https://www.ci.port-hueneme.ca.us/187/Police-Department|Unknown|N/A|N/A|
Port San Luis Harbor District Harbor Patrol Department|Not Found|Unknown|N/A|N/A|
Porterville Police Department|https://www.ci.porterville.ca.us/departments/police/index.php|Unknown|N/A|N/A|
Presidio of Monterey Police Department|Not Found|Unknown|N/A|N/A|Military installation
Red Bluff Police Department|https://www.rbpd.org/|Yes|https://rbpd.citizenrims.com/|Crime & Activity mapping, Annual reports|CitizenRIMS
Redding Police Department|https://www.cityofredding.gov/government/departments/police/index.php|Unknown|N/A|N/A|
Redlands Police Department|https://www.cityofredlands.org/police|Unknown|N/A|Crime reports by request|Online crime reporting
Redondo Beach Police Department|https://www.redondo.org/departments/police/|Unknown|N/A|N/A|
Redwood City Police Department|https://www.redwoodcity.org/departments/police-department|Yes|N/A|Community Wellness dashboard, crime reporting data|
Reedley Police Department|https://reedley.ca.gov/police-department/|Unknown|N/A|N/A|
Rialto Police Department|https://rialtopolice.com/|Unknown|N/A|N/A|
Richmond Police Department|https://www.ci.richmond.ca.us/82/Police-Department|Unknown|N/A|N/A|
Ridgecrest Police Department|https://ridgecrest-ca.gov/361/Welcome-to-the-Ridgecrest-Police-Department|Unknown|N/A|N/A|
Rio Dell Police Department|https://www.cityofriodell.ca.gov/215/Police|Unknown|N/A|N/A|
Rio Hondo College PD|https://www.riohondo.edu/police/|Unknown|N/A|Campus safety|
Ripon Police Department|https://cityofripon.org/536/Police-Department|Yes|https://ripon.citizenrims.com/|Crime mapping, arrests, 24-hour activity log|CitizenRIMS
Riverside Community College District Police Department|https://rccd.edu/police/index.html|Unknown|N/A|N/A|POST-certified
Riverside County Department of Public Social Services|Unknown|Unknown|N/A|N/A|
Riverside County District Attorney|Unknown|Unknown|N/A|N/A|
Riverside County Sheriff's Office|https://www.riversidesheriff.org/|Unknown|N/A|Inmate info available|
Riverside Police Department|https://www.riversideca.gov/rpd/|Yes|https://riversideca.gov/rpd/resources-forms/crime-statistics|Part I & II crime statistics, Open Data Portal|Updated continuously
Rocklin Police Department|https://www.rocklin.ca.us/police|Yes|https://rocklinpolice.citizenrims.com/|Crime & Activity data, Arrest info|CitizenRIMS/CrimeGraphics
Rohnert Park Department of Public Safety|https://www.rpcity.org/309/Public-Safety|Unknown|N/A|Transparency info|Integrated police & fire
Roseville Police Department|https://www.roseville.ca.us/government/departments/police_department|Unknown|N/A|Citizens reporting system|
Ross Police Department|https://www.townofrossca.gov/police|Unknown|N/A|Crime mapping available|
Sacramento City College Police Department|Unknown|Unknown|N/A|N/A|
Sacramento County Coroner|Unknown|Unknown|N/A|N/A|
Sacramento County District Attorney|Unknown|Unknown|N/A|N/A|
Sacramento County Department of Human Assistance|Unknown|Unknown|N/A|N/A|
Sacramento County Regional Parks Department|Unknown|Unknown|N/A|N/A|
Sacramento County Sheriff's Department|https://www.sacsheriff.com/|Yes|https://www.sacsheriff.com/|Online crime reporting for unincorporated areas|
Sacramento Police Department|https://www.cityofsacramento.gov/police|Yes|https://data.cityofsacramento.org/|Crime reports, Open Data Portal, Daily activity logs|Updated monthly
Sacramento Regional Transit District Police Services|Unknown|Unknown|N/A|N/A|
Saddleback Community College Police Department|Unknown|Unknown|N/A|N/A|
Saint Helena Police Department|Unknown|Unknown|N/A|N/A|
Salinas Police Department|Unknown|Unknown|N/A|N/A|
San Benito County District Attorney|Unknown|Unknown|N/A|N/A|
San Benito County Sheriff's Department|Unknown|Unknown|N/A|N/A|
San Benito Office of Emergency Services|Unknown|Unknown|N/A|N/A|
San Bernardino Community College District Police Department|Unknown|Unknown|N/A|N/A|
San Bernardino County District Attorney|Unknown|Unknown|N/A|N/A|
San Bernardino County Human Services|Unknown|Unknown|N/A|N/A|
San Bernardino County Sheriff-Coroner|https://wp.sbcounty.gov/sheriff/|Unknown|N/A|N/A|
San Bernardino Police Department|https://www.sanbernardino.gov/412/Police-Department|Yes|https://www.sanbernardino.gov/602/Arrest-Logs|Crime reports, Arrest logs|
San Bernardino Unified School District Police Department|Unknown|Unknown|N/A|N/A|
San Bruno Police Department|https://www.sanbruno.ca.gov/police|Yes|https://snb.crimegraphics.com|Crime mapping, calls for service, arrests|CrimeGraphics/CitizenRIMS (discovered via search)
San Carlos Police Department|Unknown|Unknown|N/A|N/A|
San Diego Community College District Police Department|Unknown|Unknown|N/A|N/A|
San Diego County Bureau of Public Assistance Investigations|Unknown|Unknown|N/A|N/A|
San Diego County District Attorney|Unknown|Unknown|N/A|N/A|
San Diego County Law Enforcement Training Manager's Association|Unknown|Unknown|N/A|N/A|
San Diego County Medical Examiner|Unknown|Unknown|N/A|N/A|
San Diego County Probation Department|Unknown|Unknown|N/A|N/A|
San Diego County Sheriff's Department|https://www.sdsheriff.gov/|Yes|https://apps.sdsheriff.net/wij/|Who's In Jail database, Warrant search|
San Diego Harbor Police Department Port Of|Unknown|Unknown|N/A|N/A|
San Diego Police Department|https://www.sandiego.gov/police|Yes|https://www.sandiego.gov/police/data-transparency/crime-statistics|Crime statistics, Neighborhood Crime Dashboard, Weekly data|NIBRS; near real-time
San Diego Unified School District Police Department|Unknown|Unknown|N/A|N/A|
San Fernando Police Department|Unknown|Unknown|N/A|N/A|
San Francisco Community College District Police Department|Unknown|Unknown|N/A|N/A|
San Francisco County District Attorney|Unknown|Unknown|N/A|N/A|
San Francisco County Department of Emergency Management|Unknown|Unknown|N/A|N/A|
San Francisco County Medical Examiner|Unknown|Unknown|N/A|N/A|
San Francisco County Sheriff's Department|https://sfsheriff.com/|Unknown|N/A|N/A|
San Francisco International Airport Communications|Unknown|Unknown|N/A|N/A|
San Francisco Police Department|https://www.sanfranciscopolice.org/|Yes|https://www.sanfranciscopolice.org/stay-safe/crime-data/crime-dashboard|Crime Dashboard, Part I & II crime statistics, Weekly trends|
San Gabriel Police Department|https://www.sangabrielcity.com/police|Yes|N/A|Crime data (selected RIMS Sep 2025)|Selected RIMS Sep 2025; CitizenRIMS portal likely available
San Jacinto Police Department|Unknown|Unknown|N/A|N/A|
San Joaquin County District Attorney|Unknown|Unknown|N/A|N/A|
San Joaquin County Sheriff's Department|Unknown|Unknown|N/A|N/A|
San Joaquin Delta College Police Department|Unknown|Unknown|N/A|N/A|
San Joaquin County Probation Department|Unknown|Unknown|N/A|N/A|
San Jose Police Department|https://www.sjpd.org/|Yes|https://www.sjpd.org/records/crime-stats-maps|Crime statistics, District dashboards, CrimeMapping.com|NIBRS compliant; updated daily
San Jose Unified School District Police Department|Unknown|Unknown|N/A|N/A|
San Jose/Evergreen Community College District Police Department|Unknown|Unknown|N/A|N/A|
